pid,duration,fps,width,height,aspect_ratio,total_frames
POST00001889,43.4,30.0,576,1024,0.5625,1302
POST00001308,22.4,30.0,576,1024,0.5625,672
POST00003516,57.63333333333333,30.0,576,1024,0.5625,1729
POST00003806,34.06666666666667,30.0,576,768,0.75,1022
POST00003259,15.033333333333333,29.866962305986696,576,1024,0.5625,449
POST00003307,24.466666666666665,30.0,576,1024,0.5625,734
POST00003621,14.966666666666667,29.933184855233854,576,1024,0.5625,448
POST00001940,5.933333333333334,30.0,576,1024,0.5625,178
POST00001472,21.6,30.0,576,1026,0.5614035087719298,648
POST00003696,10.733333333333333,30.0,576,1024,0.5625,322
POST00003355,49.666666666666664,27.0,576,1024,0.5625,1341
POST00003272,8.933333333333334,30.0,576,1024,0.5625,268
POST00001421,17.41741741741742,29.855172413793102,576,1024,0.5625,520
POST00001539,13.233333333333333,30.0,576,1024,0.5625,397
POST00003326,14.347681014347682,29.83060465116279,576,1024,0.5625,428
POST00001255,11.666666666666666,30.0,576,1132,0.508833922261484,350
POST00002288,6.166666666666667,30.0,576,862,0.6682134570765661,185
POST00000986,7.666666666666667,30.0,576,1024,0.5625,230
POST00002187,8.6,30.0,576,1024,0.5625,258
POST00001245,11.4,30.0,576,1024,0.5625,342
POST00002780,15.0,30.0,576,1022,0.5636007827788649,450
POST00001476,19.066666666666666,30.0,576,1024,0.5625,572
POST00003622,11.633333333333333,30.0,576,1022,0.5636007827788649,349
POST00001826,30.033333333333335,30.0,576,1024,0.5625,901
POST00003897,5.8,30.0,576,1024,0.5625,174
POST00002885,37.666666666666664,30.0,576,1024,0.5625,1130
POST00003504,8.666666666666666,30.0,576,1024,0.5625,260
POST00003819,18.31831831831832,29.97,576,1024,0.5625,549
POST00003591,97.66666666666667,30.0,576,1024,0.5625,2930
POST00002841,8.633333333333333,30.0,576,1024,0.5625,259
POST00000841,20.333333333333332,30.0,576,576,1.0,610
POST00000536,25.525525525525527,29.97,540,960,0.5625,765
POST00002413,39.266666666666666,30.0,576,1246,0.4622792937399679,1178
POST00001959,42.6,30.0,576,1024,0.5625,1278
POST00002935,91.84,25.0,576,576,1.0,2296
POST00003454,17.484150817484153,29.97,576,576,1.0,524
POST00002447,32.46666666666667,30.0,576,576,1.0,974
POST00003799,31.9,29.968652037617556,576,618,0.9320388349514563,956
POST00002550,9.20920920920921,29.97,576,1024,0.5625,276
POST00002070,17.466666666666665,30.0,576,576,1.0,524
POST00001503,11.833333333333334,30.0,576,1024,0.5625,355
POST00002777,10.566666666666666,30.0,576,1024,0.5625,317
POST00003363,177.3,30.0,576,1024,0.5625,5319
POST00000551,15.0,30.0,576,1024,0.5625,450
POST00003088,42.2,30.0,576,1024,0.5625,1266
POST00003599,12.0,30.0,576,768,0.75,360
POST00001935,192.66666666666666,30.0,576,1024,0.5625,5780
POST00003366,34.52,25.0,1024,576,1.7777777777777777,863
POST00002847,11.466666666666667,30.0,576,576,1.0,344
POST00003281,30.4,30.0,1024,576,1.7777777777777777,912
POST00003339,11.866666666666667,30.0,576,1024,0.5625,356
POST00002347,33.8,30.0,576,1024,0.5625,1014
POST00001230,8.8,30.0,576,1024,0.5625,264
POST00001208,13.2,30.0,576,1024,0.5625,396
POST00001046,14.266666666666667,30.0,576,1024,0.5625,428
POST00001005,11.266666666666667,30.0,576,1024,0.5625,338
POST00002283,9.033333333333333,30.0,576,1024,0.5625,271
POST00003098,73.38333333333334,60.0,576,1024,0.5625,4403
POST00002124,10.533333333333333,30.0,576,1024,0.5625,316
POST00001971,47.333333333333336,30.0,576,1024,0.5625,1420
POST00002811,12.9,30.0,576,1024,0.5625,387
POST00001140,15.033333333333333,30.0,576,1024,0.5625,451
POST00000289,32.6,30.0,576,1024,0.5625,978
POST00002230,13.930597263930597,59.94,576,1024,0.5625,835
POST00000924,13.433333333333334,60.0,576,1024,0.5625,806
POST00001251,7.941274607941275,29.97,576,1024,0.5625,238
POST00001104,8.9,30.0,576,1024,0.5625,267
POST00000983,41.5,16.0,576,1024,0.5625,664
POST00000895,20.5,30.0,576,1024,0.5625,615
POST00002082,15.033333333333333,30.0,576,1024,0.5625,451
POST00002590,15.0,30.0,576,1024,0.5625,450
POST00002295,15.0,30.0,576,1024,0.5625,450
POST00001355,12.366666666666667,30.0,576,1024,0.5625,371
POST00001261,6.4,30.0,576,1024,0.5625,192
POST00003652,13.0,30.0,576,1024,0.5625,390
POST00000707,19.933333333333334,30.0,576,1024,0.5625,598
POST00003227,84.46666666666667,30.0,576,1024,0.5625,2534
POST00003015,142.3,30.0,576,1024,0.5625,4269
POST00001917,61.46666666666667,30.0,576,1024,0.5625,1844
POST00002710,85.23333333333333,30.0,576,1024,0.5625,2557
POST00000024,69.96666666666667,30.0,576,1024,0.5625,2099
POST00003760,74.2,30.0,576,1024,0.5625,2226
POST00003850,40.7,27.24815724815725,576,1024,0.5625,1109
POST00003975,33.666666666666664,26.97029702970297,576,1024,0.5625,908
POST00003287,24.433333333333334,30.0,576,1024,0.5625,733
POST00001398,20.24,25.0,576,1024,0.5625,506
POST00003921,38.2,30.0,576,1024,0.5625,1146
POST00001625,98.6,30.0,576,1024,0.5625,2958
POST00001163,27.5,30.036363636363635,576,1122,0.5133689839572193,826
POST00001190,22.366666666666667,59.910581222056635,576,1024,0.5625,1340
POST00000249,59.7,30.0,576,1024,0.5625,1791
POST00002408,16.316316316316318,29.97,576,1024,0.5625,489
POST00001829,38.922255588922255,30.291153021860264,576,1024,0.5625,1179
POST00002928,11.3,30.0,576,1024,0.5625,339
POST00001572,7.233333333333333,30.0,576,1024,0.5625,217
POST00001606,170.96666666666667,30.38019107038409,576,1024,0.5625,5194
POST00000154,29.333333333333332,30.0,576,1026,0.5614035087719298,880
POST00001663,25.683333333333334,30.253082414016873,576,1024,0.5625,777
POST00000070,50.4,30.0,576,1024,0.5625,1512
POST00002175,8.4,30.0,576,1024,0.5625,252
POST00000965,19.466666666666665,60.0,576,1024,0.5625,1168
POST00001287,44.86666666666667,30.0,576,1024,0.5625,1346
POST00001928,71.43333333333334,30.0,540,960,0.5625,2143
POST00001128,76.2,29.750656167979002,576,1024,0.5625,2267
POST00001124,15.4,30.0,576,1024,0.5625,462
POST00001123,30.666666666666668,30.0,576,1030,0.5592233009708738,920
POST00001112,20.133333333333333,30.0,576,1024,0.5625,604
POST00001836,47.1,30.0,576,1024,0.5625,1413
POST00002449,600.0333667000334,29.97,576,1024,0.5625,17983
POST00001460,30.266666666666666,30.0,576,1024,0.5625,908
POST00000122,24.758091424758092,29.97,576,1024,0.5625,742
POST00003179,60.03333333333333,30.0,576,1024,0.5625,1801
POST00003126,53.9,30.0,576,1024,0.5625,1617
POST00003215,71.36666666666666,30.0,576,1024,0.5625,2141
POST00003431,26.74074074074074,27.0,576,1024,0.5625,722
POST00002963,21.266666666666666,30.0,576,1024,0.5625,638
POST00000488,9.299999999999999,28.27956989247312,576,1024,0.5625,263
POST00002643,21.883333333333333,30.068545316070068,576,1024,0.5625,658
POST00000955,35.56666666666667,30.0,576,1024,0.5625,1067
POST00002615,15.966666666666667,30.062630480167016,576,1024,0.5625,480
POST00000989,25.066666666666666,30.0,576,1024,0.5625,752
POST00001396,12.1,30.0,576,1024,0.5625,363
POST00000832,18.133333333333333,30.0,576,1024,0.5625,544
POST00003684,89.86666666666666,30.0,576,1024,0.5625,2696
POST00003230,10.6,30.0,576,1024,0.5625,318
POST00003244,70.3,30.0,576,1024,0.5625,2109
POST00002105,7.219975264899555,29.917,576,1024,0.5625,216
POST00002690,14.064064064064066,34.69836298932384,576,1024,0.5625,488
POST00003628,60.56666666666667,30.0,576,1024,0.5625,1817
POST00001922,12.178845512178846,29.97,576,1024,0.5625,365
POST00002030,41.13333333333333,30.0,576,1024,0.5625,1234
POST00000572,15.966666666666667,30.0,576,1024,0.5625,479
POST00003127,19.900000000000002,28.64321608040201,576,1024,0.5625,570
POST00001450,25.0,30.0,576,1024,0.5625,750
POST00001621,10.766666666666667,30.0,576,1024,0.5625,323
POST00001824,16.933333333333334,59.94094488188976,576,1024,0.5625,1015
POST00000550,5.466666666666667,30.0,576,1024,0.5625,164
POST00002756,5.538872205538873,29.97,576,1024,0.5625,166
POST00001817,60.0,30.0,576,1024,0.5625,1800
POST00001535,10.733333333333333,30.0,576,1024,0.5625,322
POST00003002,46.233333333333334,30.0,576,1024,0.5625,1387
POST00002167,201.76666666666668,30.0,576,1024,0.5625,6053
POST00003114,70.18333333333334,38.142958917121824,576,1024,0.5625,2677
POST00002766,29.766666666666666,30.0,576,1024,0.5625,893
POST00001890,28.666666666666668,30.0,576,1024,0.5625,860
POST00003644,28.3,30.0,576,1024,0.5625,849
POST00000984,24.4,30.0,576,1024,0.5625,732
POST00000689,20.066666666666666,30.0,576,1024,0.5625,602
POST00000350,34.86666666666667,30.0,576,1024,0.5625,1046
POST00001707,7.833333333333333,30.0,576,1024,0.5625,235
POST00002225,59.9,30.0,576,1024,0.5625,1797
POST00000872,23.066666666666666,30.0,576,1024,0.5625,692
POST00000188,24.933333333333334,30.0,576,1024,0.5625,748
POST00002019,10.7,30.0,576,1024,0.5625,321
POST00000914,21.4,30.0,576,1024,0.5625,642
POST00003814,65.33333333333333,30.0,576,1024,0.5625,1960
POST00002262,17.733333333333334,30.0,576,1024,0.5625,532
POST00000759,17.4,30.0,576,1024,0.5625,522
POST00001326,14.5,30.0,576,1024,0.5625,435
POST00001949,54.51284617951285,23.976,576,1024,0.5625,1307
POST00000530,54.333333333333336,30.0,576,1024,0.5625,1630
POST00002376,6.333333333333333,30.0,576,1024,0.5625,190
POST00003479,194.2,15.0,576,1024,0.5625,2913
POST00003861,5.233333333333333,30.0,576,1024,0.5625,157
POST00003868,14.8,30.0,576,1024,0.5625,444
POST00003781,11.8,30.0,576,1024,0.5625,354
POST00000975,58.233333333333334,30.0,576,1024,0.5625,1747
POST00002090,20.0,30.15,576,1024,0.5625,603
POST00000096,12.033333333333333,30.0,576,1082,0.532347504621072,361
POST00002897,35.56666666666667,30.0,576,1024,0.5625,1067
POST00001937,36.7,30.0,576,1024,0.5625,1101
POST00000682,21.633333333333333,30.0,576,1024,0.5625,649
POST00002923,67.93333333333332,30.029440628066734,576,1024,0.5625,2040
POST00002022,28.445111778445114,59.94,576,1024,0.5625,1705
POST00002334,21.3,30.0,576,1024,0.5625,639
POST00002432,30.266666666666666,60.0,576,1024,0.5625,1816
POST00001722,38.06666666666667,30.0,576,1024,0.5625,1142
POST00001661,18.633333333333333,30.536672629695886,576,1024,0.5625,569
POST00000953,27.64,25.0,576,1024,0.5625,691
POST00001534,19.166666666666668,30.0,576,1024,0.5625,575
POST00001301,7.533333333333333,30.0,576,1024,0.5625,226
POST00002457,36.43333333333333,30.0,576,1024,0.5625,1093
POST00003444,7.166666666666667,30.0,576,1024,0.5625,215
POST00001457,14.0,30.0,576,1024,0.5625,420
POST00002078,48.8,29.897540983606557,576,1024,0.5625,1459
POST00002297,6.616666666666666,60.0,480,848,0.5660377358490566,397
POST00001424,96.53333333333333,30.0,576,1024,0.5625,2896
POST00001904,59.0,30.0,576,1024,0.5625,1770
POST00001604,13.333333333333334,27.0,576,1024,0.5625,360
POST00001619,27.88888888888889,45.0,576,1024,0.5625,1255
POST00001601,18.458333333333332,24.0,576,1024,0.5625,443
POST00003124,30.400000000000002,29.835526315789473,576,1024,0.5625,907
POST00002201,17.566666666666666,30.0,576,1024,0.5625,527
POST00003673,12.866666666666667,30.0,576,1024,0.5625,386
POST00002900,40.13333333333333,60.0,576,1024,0.5625,2408
POST00000544,5.083333333333333,60.0,576,1024,0.5625,305
POST00002878,8.666666666666666,30.0,576,1024,0.5625,260
POST00002736,199.93333333333334,30.0,576,1024,0.5625,5998
POST00002694,32.93333333333333,30.0,576,1024,0.5625,988
POST00002298,6.266666666666667,30.0,576,1024,0.5625,188
POST00002560,13.3,30.0,576,1024,0.5625,399
POST00001361,40.9,30.0,576,1024,0.5625,1227
POST00000966,44.6,30.0,576,1024,0.5625,1338
POST00002382,10.033333333333333,30.0,576,1082,0.532347504621072,301
POST00001040,7.666666666666667,30.0,576,1024,0.5625,230
POST00000959,25.533333333333335,30.0,576,1024,0.5625,766
POST00001149,75.9,30.0,576,1024,0.5625,2277
POST00001060,24.08328803779738,23.917,576,1024,0.5625,576
POST00001055,15.033333333333333,30.0,576,1024,0.5625,451
POST00003284,39.6,30.0,576,1024,0.5625,1188
POST00003903,18.366666666666667,30.0,576,1024,0.5625,551
POST00003634,22.6,30.0,576,1024,0.5625,678
POST00003328,8.666666666666666,30.0,576,1024,0.5625,260
POST00001144,5.0,30.0,576,1024,0.5625,150
POST00003875,23.766666666666666,30.0,576,1024,0.5625,713
POST00003441,8.266666666666667,30.0,576,1024,0.5625,248
POST00001688,13.4,30.0,576,1024,0.5625,402
POST00002072,12.4,30.0,576,1024,0.5625,372
POST00003782,49.16,25.0,576,1024,0.5625,1229
POST00002631,5.105105105105105,59.94,576,1024,0.5625,306
POST00002513,6.433333333333334,30.0,576,1024,0.5625,193
POST00002073,15.033333333333333,30.0,576,1024,0.5625,451
POST00002153,9.333333333333334,30.0,576,1024,0.5625,280
POST00000103,19.633333333333333,30.0,576,1024,0.5625,589
POST00002463,10.0,25.0,576,1024,0.5625,250
POST00002718,41.46666666666667,30.0,576,1024,0.5625,1244
POST00001961,12.666666666666666,30.0,576,1024,0.5625,380
POST00001239,21.2,30.0,576,1024,0.5625,636
POST00001240,12.0,30.0,576,1024,0.5625,360
POST00001222,36.00266933600267,29.97,576,1024,0.5625,1079
POST00001215,20.733333333333334,30.0,576,1024,0.5625,622
POST00001129,41.8,30.0,576,1024,0.5625,1254
POST00000823,16.4,30.0,576,1024,0.5625,492
POST00001101,28.166666666666668,30.0,576,1024,0.5625,845
POST00000681,148.06666666666666,30.0,576,1024,0.5625,4442
POST00001260,38.65,60.0,576,1024,0.5625,2319
POST00001224,10.033333333333333,60.0,576,1024,0.5625,602
POST00001120,41.40807474140808,29.97,576,1024,0.5625,1241
POST00001237,33.36666666666667,30.0,576,1024,0.5625,1001
POST00001089,186.83333333333331,29.973238180196255,576,1024,0.5625,5600
POST00001181,9.943276609943277,59.94,576,1024,0.5625,596
POST00001238,10.176843510176845,29.97,576,1024,0.5625,305
POST00001070,20.62062062062062,29.97,576,1024,0.5625,618
POST00001242,90.3,30.0,576,1024,0.5625,2709
POST00001054,23.490156823490157,29.97,540,960,0.5625,704
POST00001063,18.433333333333334,30.0,576,1024,0.5625,553
POST00001061,9.10910910910911,59.94,576,1024,0.5625,546
POST00001077,50.5,30.0,576,1024,0.5625,1515
POST00001069,25.2,30.0,576,1024,0.5625,756
POST00001068,43.10977644310978,29.946803405572755,576,1024,0.5625,1291
POST00001050,8.233333333333333,30.0,576,1024,0.5625,247
POST00000092,86.46666666666667,60.0,576,1024,0.5625,5188
POST00001523,12.466666666666667,30.0,576,1024,0.5625,374
POST00003113,7.0,30.0,576,1024,0.5625,210
POST00001575,20.533333333333335,30.0,576,1024,0.5625,616
POST00002077,7.6,30.0,576,1024,0.5625,228
POST00002342,12.3,29.91869918699187,576,1024,0.5625,368
POST00001172,8.033333333333333,24.647302904564317,576,1024,0.5625,198
POST00001894,9.1,30.0,576,1024,0.5625,273
POST00002813,77.96666666666667,30.0,576,1024,0.5625,2339
POST00003279,6.033333333333333,30.0,576,1024,0.5625,181
POST00001863,6.806806806806807,45.10191176470588,576,1024,0.5625,307
POST00003142,9.966666666666667,30.0,576,1024,0.5625,299
POST00002637,12.212212212212213,29.97,576,860,0.6697674418604651,366
POST00001214,68.06666666666666,30.0,576,1024,0.5625,2042
POST00002913,44.7,30.0,576,1024,0.5625,1341
POST00003536,14.066666666666666,30.0,576,1024,0.5625,422
POST00000493,17.217217217217218,29.97,576,1024,0.5625,516
POST00002121,9.466666666666667,30.0,576,1024,0.5625,284
POST00003592,16.933333333333334,30.0,576,1024,0.5625,508
POST00000094,18.76,25.0,576,1024,0.5625,469
POST00002504,11.766666666666667,30.0,576,1024,0.5625,353
POST00002731,30.366666666666667,30.0,576,1024,0.5625,911
POST00000020,15.133333333333333,30.0,576,1024,0.5625,454
POST00002956,16.0,60.0,576,1024,0.5625,960
POST00000854,12.166666666666666,30.0,576,1024,0.5625,365
POST00000126,36.36666666666667,30.0,576,1024,0.5625,1091
POST00001794,7.2,30.0,576,1024,0.5625,216
POST00002226,8.966666666666667,30.0,576,1024,0.5625,269
POST00003490,24.090757424090757,29.97,576,1024,0.5625,722
POST00003143,18.983333333333334,59.94732221246708,576,1024,0.5625,1138
POST00000272,24.457791124457792,59.94,576,1024,0.5625,1466
POST00002895,31.666666666666668,30.0,576,1024,0.5625,950
POST00000269,7.733333333333333,30.0,576,1092,0.5274725274725275,232
POST00003008,19.2,29.739583333333332,576,1024,0.5625,571
POST00003180,56.266666666666666,30.0,576,1024,0.5625,1688
POST00002915,5.6,30.0,576,1024,0.5625,168
POST00002969,60.777444110777445,30.192121877573427,576,1024,0.5625,1835
POST00003776,57.86666666666667,24.98847926267281,576,1024,0.5625,1446
POST00003297,116.4,30.0,576,1024,0.5625,3492
POST00001256,25.566666666666666,30.0,576,1024,0.5625,767
POST00001710,14.280947614280947,29.97,576,1024,0.5625,428
POST00002792,8.575241908575242,59.94,576,1024,0.5625,514
POST00003586,33.0,30.0,576,1024,0.5625,990
POST00002125,60.8,30.0,576,1024,0.5625,1824
POST00003736,42.43333333333333,30.0,576,1024,0.5625,1273
POST00002684,33.1,30.0,576,1024,0.5625,993
POST00003700,12.3,30.0,576,1024,0.5625,369
POST00003465,8.066666666666666,30.0,576,1024,0.5625,242
POST00002340,7.957957957957958,29.907169811320756,576,1024,0.5625,238
POST00002652,34.8264931598265,23.976,576,1024,0.5625,835
POST00000005,17.2,30.0,576,1024,0.5625,516
POST00001381,10.143476810143477,29.97,576,1024,0.5625,304
POST00000523,212.53333333333333,30.0,576,1024,0.5625,6376
POST00001228,38.53333333333333,30.0,576,1024,0.5625,1156
POST00003563,15.2,30.0,576,1024,0.5625,456
POST00002992,24.1,30.0,576,1024,0.5625,723
POST00003140,13.833333333333334,30.0,576,1024,0.5625,415
POST00000916,18.333333333333332,30.0,576,1024,0.5625,550
POST00003001,24.066666666666666,30.0,576,1024,0.5625,722
POST00001042,85.3,30.0,576,1024,0.5625,2559
POST00003173,28.033333333333335,30.0,576,1024,0.5625,841
POST00000007,62.43333333333333,30.0,576,1024,0.5625,1873
POST00003605,60.266666666666666,29.452433628318584,576,1024,0.5625,1775
POST00002899,25.366666666666667,30.0,576,1024,0.5625,761
POST00001557,28.533333333333335,30.0,576,1024,0.5625,856
POST00001543,16.933333333333334,30.0,576,1030,0.5592233009708738,508
POST00002758,25.975975975975977,30.181734104046242,576,1024,0.5625,784
POST00002275,29.433333333333334,30.0,576,1024,0.5625,883
POST00000587,227.1604938271605,29.97,576,1024,0.5625,6808
POST00003965,52.333333333333336,30.0,576,1024,0.5625,1570
POST00003243,93.03333333333333,30.0,576,1024,0.5625,2791
POST00001047,33.0663997330664,33.810756811301715,576,1024,0.5625,1118
POST00000990,16.166666666666668,30.0,576,1024,0.5625,485
POST00000571,91.21666666666667,60.0,576,1024,0.5625,5473
POST00002492,12.633333333333333,30.0,576,1024,0.5625,379
POST00001110,47.7,30.0,576,1024,0.5625,1431
POST00003213,92.46666666666667,30.0,576,1024,0.5625,2774
POST00001082,61.03333333333333,30.0,576,1024,0.5625,1831
POST00001160,6.533333333333333,30.0,576,1024,0.5625,196
POST00002010,18.2,30.0,576,1024,0.5625,546
POST00003079,8.666666666666666,30.0,576,1024,0.5625,260
POST00002526,79.36666666666666,30.0,576,1024,0.5625,2381
POST00002183,22.766666666666666,30.0,576,1024,0.5625,683
POST00002865,19.966666666666665,30.0,576,1024,0.5625,599
POST00002788,18.3,30.0,576,1024,0.5625,549
POST00002739,10.466666666666667,30.0,576,1024,0.5625,314
POST00003925,14.4,30.0,576,1024,0.5625,432
POST00000074,14.305972639305974,23.976,576,1024,0.5625,343
POST00002356,5.538872205538873,29.97,576,1024,0.5625,166
POST00003074,51.4,30.0,576,1036,0.555984555984556,1542
POST00002481,69.36666666666666,30.0,576,1024,0.5625,2081
POST00001994,14.90791188956112,29.71576457399103,576,1024,0.5625,443
POST00001702,10.366666666666667,30.0,576,1024,0.5625,311
POST00003566,18.066666666666666,30.0,576,1024,0.5625,542
POST00001706,13.366666666666667,30.0,576,1024,0.5625,401
POST00002470,100.23333333333333,30.0,576,1024,0.5625,3007
POST00000576,14.314314314314315,29.97,848,480,1.7666666666666666,429
POST00000339,12.05,31.12033195020747,576,1024,0.5625,375
POST00000388,8.200000000000001,49.26829268292683,576,1024,0.5625,404
POST00001931,41.666666666666664,30.0,576,1024,0.5625,1250
POST00003540,230.9,29.9696838458207,576,1024,0.5625,6920
POST00002647,68.7,30.0,576,1024,0.5625,2061
POST00003024,16.433333333333334,30.0,576,1024,0.5625,493
POST00003748,19.2,30.0,576,1024,0.5625,576
POST00002056,7.5,30.0,576,1024,0.5625,225
POST00000432,42.333333333333336,30.0,576,1024,0.5625,1270
POST00000520,17.5,30.0,576,1024,0.5625,525
POST00003324,46.233333333333334,30.0,576,1024,0.5625,1387
POST00002426,41.25,60.0,576,1024,0.5625,2475
POST00002801,330.76666666666665,30.0,576,1024,0.5625,9923
POST00002309,50.2,30.0,576,1024,0.5625,1506
POST00002713,35.46666666666667,30.0,576,1024,0.5625,1064
POST00000441,64.13333333333334,30.0,576,1024,0.5625,1924
POST00000329,49.233333333333334,60.0,576,1024,0.5625,2954
POST00000994,59.3,60.0,576,1024,0.5625,3558
POST00002905,22.966666666666665,30.0,576,1024,0.5625,689
POST00001011,15.18184851518185,29.97,576,1024,0.5625,455
POST00001182,45.13333333333333,30.0,576,1024,0.5625,1354
POST00002888,125.80000000000001,59.189189189189186,576,1024,0.5625,7446
POST00001561,16.883333333333333,60.0,576,1024,0.5625,1013
POST00001445,51.46666666666667,30.0,960,540,1.7777777777777777,1544
POST00000611,144.05,30.07289135716765,576,1024,0.5625,4332
POST00001943,28.5,30.0,576,1024,0.5625,855
POST00002546,13.266666666666667,30.0,576,1024,0.5625,398
POST00003031,27.733333333333334,30.0,576,1024,0.5625,832
POST00003676,36.46666666666667,29.643510054844608,576,1024,0.5625,1081
POST00001248,11.566666666666666,60.0,576,1024,0.5625,694
POST00002614,22.666666666666668,30.0,576,1024,0.5625,680
POST00002066,58.46666666666667,30.0,576,1024,0.5625,1754
POST00002058,30.033333333333335,30.0,576,1024,0.5625,901
POST00003797,14.666666666666666,30.0,576,1024,0.5625,440
POST00002401,29.4,30.0,576,1024,0.5625,882
POST00003039,15.033333333333333,30.0,576,1024,0.5625,451
POST00002955,12.433333333333334,30.0,576,1024,0.5625,373
POST00002192,68.18333333333334,30.30065998533366,576,1024,0.5625,2066
POST00002772,67.3,30.25260029717682,576,1024,0.5625,2036
POST00002522,150.60060060060061,59.94,576,1024,0.5625,9027
POST00001096,33.5,30.0,576,1024,0.5625,1005
POST00001515,31.466666666666665,30.0,576,1024,0.5625,944
POST00001887,15.715715715715715,29.97,720,1280,0.5625,471
POST00002902,211.63333333333333,30.0,576,1024,0.5625,6349
POST00003409,153.46666666666667,29.986967854039964,576,1024,0.5625,4602
POST00000957,38.233333333333334,30.0,576,1024,0.5625,1147
POST00000219,8.0,59.75,576,956,0.602510460251046,478
POST00002441,42.56666666666667,30.0,576,1024,0.5625,1277
POST00002233,180.10000000000002,29.93892282065519,576,1024,0.5625,5392
POST00001546,11.833333333333334,30.0,576,1024,0.5625,355
POST00001983,54.43333333333333,30.0,576,1024,0.5625,1633
POST00001030,59.523809523809526,21.0,576,1024,0.5625,1250
POST00002012,186.06666666666666,30.0,576,1024,0.5625,5582
POST00002570,74.26666666666667,30.0,576,1024,0.5625,2228
POST00000417,43.27660994327661,59.94,576,1024,0.5625,2594
POST00002748,59.0,30.0,576,1024,0.5625,1770
POST00001254,87.47824154660938,54.002,576,1024,0.5625,4724
POST00001183,74.39428345242808,45.930948473816855,576,1024,0.5625,3417
POST00003553,107.83333333333333,30.0,576,1024,0.5625,3235
POST00001400,20.003336670003335,28.945170975813177,576,1024,0.5625,579
POST00000591,60.06006006006006,29.97,576,1024,0.5625,1800
POST00002943,59.6,30.0,576,1024,0.5625,1788
POST00002964,58.666666666666664,30.0,576,1024,0.5625,1760
POST00002910,131.23333333333332,30.0,576,1024,0.5625,3937
POST00000231,59.03333333333333,30.0,576,1024,0.5625,1771
POST00001073,40.43333333333333,30.0,576,1024,0.5625,1213
POST00000068,20.0,30.0,576,1024,0.5625,600
POST00000971,29.896563229896564,30.80621651785714,576,1024,0.5625,921
POST00000883,20.933333333333334,30.0,576,1024,0.5625,628
POST00000558,7.066666666666666,30.0,576,1024,0.5625,212
POST00003084,40.03333333333333,30.0,576,1024,0.5625,1201
POST00000482,40.766666666666666,30.0,576,1024,0.5625,1223
POST00001860,60.06666666666667,30.0,576,1024,0.5625,1802
POST00000476,21.5,30.0,576,972,0.5925925925925926,645
POST00001297,38.166666666666664,30.0,576,1024,0.5625,1145
POST00002853,38.1,30.0,576,1022,0.5636007827788649,1143
POST00002337,59.03333333333333,30.0,576,1024,0.5625,1771
POST00002331,33.16,25.0,576,1024,0.5625,829
